exp_key,lot,seq,P_raw,Q_raw
2024-08-07_03,2024-08-07,3,0.04237572456046246,518.5133566000956
2024-08-07_04,2024-08-07,4,0.042385333359608236,518.6834713865683
2024-08-07_05,2024-08-07,5,0.042370700880895174,518.378768141887
2024-08-07_06,2024-08-07,6,0.04232730909011409,518.5964179835022
2024-08-07_07,2024-08-07,7,0.0423820630062575,518.6334846795198
2024-08-07_08,2024-08-07,8,0.042389485555438595,518.8859097551025
2024-08-07_09,2024-08-07,9,0.0423419416052511,519.0882149477522
2024-08-07_10,2024-08-07,10,0.042360822200418445,518.755373003016
2024-08-21_01,2024-08-21,1,0.04240134788252084,518.3700523362259
2024-08-21_02,2024-08-21,2,0.042395346879642595,518.7460672159812
2024-08-21_03,2024-08-21,3,0.042388266571046974,518.539307203849
2024-08-21_04,2024-08-21,4,0.0423680373441757,518.788541697632
2024-08-21_05,2024-08-21,5,0.04238438933952105,518.2098331532289
2024-08-21_06,2024-08-21,6,0.042372993542734265,518.5878165212962
2024-08-21_07,2024-08-21,7,0.04235178654899146,518.5664042400922
2024-08-21_08,2024-08-21,8,0.04237902861412562,518.5443376748649
2024-08-21_09,2024-08-21,9,0.042376868783661696,518.7539904287665
2024-08-21_10,2024-08-21,10,0.0423746793804061,518.3210668735481
2024-08-22_01,2024-08-22,1,0.04237663525981065,518.4363936267392
2024-08-22_02,2024-08-22,2,0.04238519853386659,518.6586937500015
2024-08-22_03,2024-08-22,3,0.04237966914990928,518.473936372603
2024-08-22_04,2024-08-22,4,0.04239315534072073,518.3988151507081
2024-08-22_05,2024-08-22,5,0.042371577406785654,518.4130734852456
2024-08-22_06,2024-08-22,6,0.04233307440389031,518.4328642877664
2024-08-22_07,2024-08-22,7,0.042375050132198666,518.7824190753133
2024-08-22_08,2024-08-22,8,0.042365386672392584,518.3487129800335
2024-08-22_09,2024-08-22,9,0.04238297328458432,518.4800555437329
2024-08-22_10,2024-08-22,10,0.042384793932297826,518.5652946346155
